Text;tag
ruam tidak gatal lemas nyeri otot diare dan berat badan turun apakah diatas ada gejala HIV dok? pernah tidak sengaja menelan cairan vagina non HIV sebelumnya saya punya penyakit lambung;Gejala
ruam tidak gatal lemas nyeri otot diare dan berat badan turun apakah diatas ada gejala HIV dok? pernah tidak sengaja menelan cairan vagina non HIV sebelumnya saya punya penyakit lambung;Penyakit
ruam tidak gatal lemas nyeri otot diare dan berat badan turun apakah diatas ada gejala HIV dok? pernah tidak sengaja menelan cairan vagina non HIV sebelumnya saya punya penyakit lambung;Penyebab
ruam tidak gatal lemas nyeri otot diare dan berat badan turun apakah diatas ada gejala HIV dok? pernah tidak sengaja menelan cairan vagina non HIV sebelumnya saya punya penyakit lambung;Pertanyaan
Halo Bapak;Pembuka
Saya mengerti keluhan yang disampaikan dan kekhawatiran Anda. ;Pembuka
Berikut beberapa artikel yang dapat menjawab pertanyaan Anda :;Referensi
Saat Gejala HIV Ini Muncul, Segeralah Ke Dokter;Artikel
Fase Gejala HIV yang Wajib Anda Tahu;Artikel
Terima kasih sudah berkonsultasi melalui fitur Tanya Dokter. ;Penutup
Jangan ragu untuk kembali berkonsultasi jika masih ada keluhan lainnya, ya. ;Penutup
Bapak dapat juga berkonsultasi melalui Aplikasi KlikDokter kapan pun dan di mana pun dengan men-download aplikasi Klikdokter melakui Play Store/ Android: https://www.klikdokter.com/download-App Store : https://app.adjust.com/n01yug7  ;Penutup
Semoga sehat selalu/semoga lekas membaik.;Penutup
vitamin untuk pasien covid yang isolasi mandiri dirumah;Penyakit
vitamin untuk pasien covid yang isolasi mandiri dirumah;Pertanyaan
Halo Sdri;Pembuka
Saya mengerti keluhan yang disampaikan dan kekhawatiran Anda.  ;Pembuka
Berikut beberapa artikel terkait pertanyaan Anda:;Referensi
Biar Cepat Sembuh, Ini Deretan Vitamin untuk Pasien COVID-19;Artikel
Sebelum Parah, Hadapi Gejala COVID-19 dengan Vitamin C;Artikel
Penelitian: Vitamin C dan Zinc Tidak Bisa Mengurangi Gejala COVID-19;Artikel
Terima kasih sudah berkonsultasi melalui fitur Tanya Dokter. ;Penutup
Jangan ragu untuk kembali berkonsultasi jika masih ada keluhan lainnya, ya.  ;Penutup
Sdri dapat juga berkonsultasi melalui Aplikasi KlikDokter kapan pun dan di mana pun dengan men-download aplikasi Klikdokter melakui Play Store/ Android: https://www.klikdokter.com/download-App Store : https://app.adjust.com/n01yug7  ;Penutup
Semoga sehat selalu/semoga lekas membaik.;Penutup
Izin bertanya, untuk luka yang mulai mengering dari pengidap HIV, apakah luka yang mulai mengering tersebut masih bisa menularkan virusnya?;Penyakit
Izin bertanya, untuk luka yang mulai mengering dari pengidap HIV, apakah luka yang mulai mengering tersebut masih bisa menularkan virusnya?;Pertanyaan
Halo Sdr;Pembuka
Saya mengerti keluhan yang disampaikan dan kekhawatiran Anda.  ;Pembuka
Beberapa cara penularan HIV adalah melalui darah, melalui cairan mani/vagina, dan dari Ibu ke Anak. ;Penyakit
Beberapa cara penularan HIV adalah melalui darah, melalui cairan mani/vagina, dan dari Ibu ke Anak. ;Penyebab
Bila tidak ada kontak dengan darah (misalnya pertemuan luka dengan luka) dan tidak ada pertukaran cairan vagina/mani maka resiko untuk tertularnya HIV tidak ada.;Prakondisi
Bila tidak ada kontak dengan darah (misalnya pertemuan luka dengan luka) dan tidak ada pertukaran cairan vagina/mani maka resiko untuk tertularnya HIV tidak ada.;Penyebab
HIV dapat terdeteksi dengan tes darah dengan cara mendeteksi adanya antibodi HIV di dalam sample darahnya. ;Tindakan
HIV dapat terdeteksi dengan tes darah dengan cara mendeteksi adanya antibodi HIV di dalam sample darahnya. ;Outcome
HIV dapat terdeteksi dengan tes darah dengan cara mendeteksi adanya antibodi HIV di dalam sample darahnya. ;Prakondisi
Tes darah yang dilakukan adalah Tes ELISA dan Western Bolt. ;Tindakan
Tes darah yang dilakukan adalah Tes ELISA dan Western Bolt. ;Objek
Antibodi HIV biasanya dapat dideteksi sekitar 3-8 minggu setelah terinfeksi.;Objek
Antibodi HIV biasanya dapat dideteksi sekitar 3-8 minggu setelah terinfeksi.;Kapan
Baca juga;Referensi
Kenali Berbagai Cara Penularan Infeksi HIV/AIDS dan Pencegahannya ;Artikel
Pasangan Terkena HIV Bagaimana Caranya agar Tak Ikut Tertular?;Artikel
HIV dan AIDS, Kenali Bedanya;Artikel
Terima kasih sudah berkonsultasi melalui fitur Tanya Dokter. ;Penutup
Jangan ragu untuk kembali berkonsultasi jika masih ada keluhan lainnya, ya.  ;Penutup
Sdr dapat juga berkonsultasi melalui Aplikasi KlikDokter kapan pun dan di mana pun dengan men-download aplikasi Klikdokter melakui Play Store/ Android: https://www.klikdokter.com/download-App Store : https://app.adjust.com/n01yug7  ;Penutup
Semoga sehat selalu/semoga lekas membaik.;Penutup
halo dok saya mau bertanya. Salah satu anggota keluarga saya baru dinyatakan positive covid dan dirujuk ke wisma atlit. Apakah setelah 14 hari dirawat disana dan dinyatakan sudah negative dan boleh pulang ke rumah perlu melakukan isolasi mandiri lagi?;Pasien
halo dok saya mau bertanya. Salah satu anggota keluarga saya baru dinyatakan positive covid dan dirujuk ke wisma atlit. Apakah setelah 14 hari dirawat disana dan dinyatakan sudah negative dan boleh pulang ke rumah perlu melakukan isolasi mandiri lagi?;Penyakit
halo dok saya mau bertanya. Salah satu anggota keluarga saya baru dinyatakan positive covid dan dirujuk ke wisma atlit. Apakah setelah 14 hari dirawat disana dan dinyatakan sudah negative dan boleh pulang ke rumah perlu melakukan isolasi mandiri lagi?;Kapan
halo dok saya mau bertanya. Salah satu anggota keluarga saya baru dinyatakan positive covid dan dirujuk ke wisma atlit. Apakah setelah 14 hari dirawat disana dan dinyatakan sudah negative dan boleh pulang ke rumah perlu melakukan isolasi mandiri lagi?;Pertanyaan
Halo Sdr;Pembuka
Saya mengerti keluhan yang disampaikan dan kekhawatiran Anda.    ;Pembuka
Dari keterangan yang Anda berikan, ada baiknya tetap dilakukan isolasi mandiri dengan tujuan memastikan tidak ada gejala dan agar pemulihan maksimal terjadi. ;Tindakan
Dari keterangan yang Anda berikan, ada baiknya tetap dilakukan isolasi mandiri dengan tujuan memastikan tidak ada gejala dan agar pemulihan maksimal terjadi. ;Outcome
Terima kasih sudah berkonsultasi melalui fitur Tanya Dokter. ;Penutup
Jangan ragu untuk kembali berkonsultasi jika masih ada keluhan lainnya, ya.  ;Penutup
Sdr dapat juga berkonsultasi melalui Aplikasi KlikDokter kapan pun dan di mana pun dengan men-download aplikasi Klikdokter melakui Play Store/ Android: https://www.klikdokter.com/download-App Store : https://app.adjust.com/n01yug7  ;Penutup
Semoga sehat selalu/semoga lekas membaik.;Penutup
Apakah saya sudah sembuh covid;Pasien
Apakah saya sudah sembuh covid;Penyakit
Apakah saya sudah sembuh covid;Pertanyaan
Halo Sdri;Pembuka
Saya mengerti keluhan dan kekhawatiran yang Anda rasakan;Pembuka
Kriteria sembuh dari covid harus selesai melakukan isolasi mandiri ditambah dengan keputusan klinis dari dokter.;Outcome
Kriteria sembuh dari covid harus selesai melakukan isolasi mandiri ditambah dengan keputusan klinis dari dokter.;Prakondisi
Anda bisa dikatan lepas isolasi mandiri, jika: - Tanpa gejala/gejala ringan/sedang: Isolasi mandiri minimal 10 hari + 3 hari bebas gejala - Gejala berat/kritis: Isolasi minimal 10 hari + 3 hari bebas gejala + swab PCR 1x negative;Outcome
Anda bisa dikatan lepas isolasi mandiri, jika: - Tanpa gejala/gejala ringan/sedang: Isolasi mandiri minimal 10 hari + 3 hari bebas gejala - Gejala berat/kritis: Isolasi minimal 10 hari + 3 hari bebas gejala + swab PCR 1x negative;Prakondisi
Jika Anda telah menyelesaikan masa isolasi mandiri dan sudah bebas gejala, sebaiknya Anda melakukan pemeriksaan ke dokter spesialis penyakit dalam atau spesialis paru untuk dilakukan evaluasi secara lengkap.;Tindakan
Terima kasih sudah berkonsultasi di fitur Tanya Dokter. ;Penutup
Jangan ragu untuk kembali berkonsultasi jika masih ada keluhan lainnya, ya. ;Penutup
Anda dapat juga berkonsultasi melalui Aplikasi Klikdokter kapan pun dan di mana pun. ;Penutup
Semoga Anda sehat selalu.;Penutup
Siang dok, minggu kemarin sy telah menjalani tes HIV dan berikut hasil tes HIV sy menunjukkan hasil sbb: Metode I (Anti HIV) Reaktif : Indeks 1,46 (metode CMIA) Metode II (Anti HIV) Non Reaktif (metode IMMUNOCHROMATOGRAPHY) Metode III (Anti HIV) Reaktif Indeks 3,94 (metode ECLIA) mohon dijelaskan apakah sy sdh terinveksi HIV mengingat sy saat ini sedang hamil;Pasien
Siang dok, minggu kemarin sy telah menjalani tes HIV dan berikut hasil tes HIV sy menunjukkan hasil sbb: Metode I (Anti HIV) Reaktif : Indeks 1,46 (metode CMIA) Metode II (Anti HIV) Non Reaktif (metode IMMUNOCHROMATOGRAPHY) Metode III (Anti HIV) Reaktif Indeks 3,94 (metode ECLIA) mohon dijelaskan apakah sy sdh terinveksi HIV mengingat sy saat ini sedang hamil;Observasi
Siang dok, minggu kemarin sy telah menjalani tes HIV dan berikut hasil tes HIV sy menunjukkan hasil sbb: Metode I (Anti HIV) Reaktif : Indeks 1,46 (metode CMIA) Metode II (Anti HIV) Non Reaktif (metode IMMUNOCHROMATOGRAPHY) Metode III (Anti HIV) Reaktif Indeks 3,94 (metode ECLIA) mohon dijelaskan apakah sy sdh terinveksi HIV mengingat sy saat ini sedang hamil;Tindakan
Siang dok, minggu kemarin sy telah menjalani tes HIV dan berikut hasil tes HIV sy menunjukkan hasil sbb: Metode I (Anti HIV) Reaktif : Indeks 1,46 (metode CMIA) Metode II (Anti HIV) Non Reaktif (metode IMMUNOCHROMATOGRAPHY) Metode III (Anti HIV) Reaktif Indeks 3,94 (metode ECLIA) mohon dijelaskan apakah sy sdh terinveksi HIV mengingat sy saat ini sedang hamil;Pertanyaan
Halo Sdri, ;Pembuka
Saya mengerti keluhan dan kekhawatiran yang Anda rasakan.;Pembuka
Untuk mengetahui apakah seseorang telah terinfeksi HIV, dapat dilakukan beberapa pemeriksaan laboratorium. ;Penyakit
Untuk mengetahui apakah seseorang telah terinfeksi HIV, dapat dilakukan beberapa pemeriksaan laboratorium. ;Tindakan
Pemeriksaan yang saat ini sering digunakan adalah tes antibodi, tes ini mudah dilaksanakan dan biayanya murah. ;Tindakan
Bila pada tes antibodi ditemukan hasil yang positif, maka pemeriksaan harus diulang dan bila masih positif dilakukan tes konfirmasi dengan tes Western Blot. ;Tindakan
Bila pada tes antibodi ditemukan hasil yang positif, maka pemeriksaan harus diulang dan bila masih positif dilakukan tes konfirmasi dengan tes Western Blot. ;Prakondisi
Apakah sudah dilakukan pemeriksaan western blot untuk konfirmasi kepastian diagnosis HIV?;Pertanyaan
Apakah sudah dilakukan pemeriksaan western blot untuk konfirmasi kepastian diagnosis HIV?;Outcome
Bila Western Blot tidak tersedia, maka hasil dinyatakan positif bila tes antibodi menunjukkan tiga kali hasil yang positif. ;Outcome
Bila Western Blot tidak tersedia, maka hasil dinyatakan positif bila tes antibodi menunjukkan tiga kali hasil yang positif. ;Tindakan
Sebaliknya, hasil yang negatif dapat berarti seseorang tidak terinfeksi HIV atau masih berada dalam periode jendela.;Outcome
Untuk itu, kami sarankan Anda kembali berkonsultasi dengan dokter Anda dan melakukan pemeriksaan lanjutan untuk memastikan hasil skrining awal.;Tindakan
Untuk itu, kami sarankan Anda kembali berkonsultasi dengan dokter Anda dan melakukan pemeriksaan lanjutan untuk memastikan hasil skrining awal.;Outcome
Baca Juga;Referensi
Siapa Saja yang Harus Melakukan Tes HIV?;Artikel
Saat Gejala HIV Ini Muncul, Segeralah Ke Dokter;Artikel
Bisakah Ibu Pengidap HIV/AIDS Melahirkan Normal?;Artikel
Terima kasih sudah berkonsultasi di fitur Tanya Dokter. ;Penutup
Jangan ragu untuk kembali berkonsultasi jika masih ada keluhan lainnya, ya. ;Penutup
Anda dapat juga berkonsultasi melalui Aplikasi Klikdokter kapan pun dan di mana pun;Penutup
Semoga Anda sehat selalu.;Penutup
dok, saya pasien (OTG) apa yang harus saya lakukan agar bisa sembuh dari COVID19? apa pemakaian kamar mandi bersama bisa memicu penyebaran?;Pertanyaan
dok, saya pasien (OTG) apa yang harus saya lakukan agar bisa sembuh dari COVID19? apa pemakaian kamar mandi bersama bisa memicu penyebaran?;Outcome
dok, saya pasien (OTG) apa yang harus saya lakukan agar bisa sembuh dari COVID19? apa pemakaian kamar mandi bersama bisa memicu penyebaran?;Pasien
Halo Sdri, ;Pembuka
Saya mengerti keluhan dan kekhawatiran yang Anda rasakan.;Pembuka
OTG (orang tanpa gejala) adalah istilah yang digunakan pada orang yang terinfeksi virus corona tapi tidak menunjukkan gejala sama sekali. ;Informasi
OTG (orang tanpa gejala) adalah istilah yang digunakan pada orang yang terinfeksi virus corona tapi tidak menunjukkan gejala sama sekali. ;Objek
Ini menandakan bahwa OTG tidak memiliki ciri-ciri khusus sama sekali, hanya pemeriksaan PCR saja yang menunjukkan hasil positif.;Tindakan
Jika Anda terkonfirmasi covid dan menjadi OTG, sebaiknya Anda melakukan isolasi mandiri secara ketat agar tidak menularkan ke orang lain, terutama orang satu rumah Anda;Outcome
Jika Anda terkonfirmasi covid dan menjadi OTG, sebaiknya Anda melakukan isolasi mandiri secara ketat agar tidak menularkan ke orang lain, terutama orang satu rumah Anda;Tindakan
Pastikan Anda selalu jaga jarak dan menggunakan masker;Tindakan
Lalu, konsumsilah makanan yang bernutrisi, istirahat cukup, banyak minum, dan jangan lupa untuk berjemur setiap pagi. ;Tindakan
Anda juga dapat mengonsumsi vitamin C, D, dan zink untuk membantu mempertahankan sistem imun Anda.;Outcome
Anda juga dapat mengonsumsi vitamin C, D, dan zink untuk membantu mempertahankan sistem imun Anda.;Tindakan
Baca Juga;Referensi
Lipsus: Perjuangan Tenaga Medis, dari Takut Jadi OTG sampai Stigma Negatif;Artikel
Kemenkes RI Tak Lagi Pakai Istilah PDP, OTG, dan ODP COVID-19, Mengapa?;Artikel
Bolehkah ODP, OTG, dan PDP Virus Corona Berpuasa Ramadan?;Artikel
Terima kasih sudah berkonsultasi di fitur Tanya Dokter. ;Penutup
Jangan ragu untuk kembali berkonsultasi jika masih ada keluhan lainnya, ya. ;Penutup
Anda dapat juga berkonsultasi melalui Aplikasi Klikdokter kapan pun dan di mana pun;Penutup
Semoga Anda sehat selalu.;Penutup
Saya sedang pilek, mengeluarkan dahak dan lendir berwarna hijau, dan sesekali batuk di sertai dahak yang kental dan dada saya sesekali sesak, saya ingin tes corona , menurut dokter saya harus rapid tes anti gen atau rapid tes biasa ;Pasien
Saya sedang pilek, mengeluarkan dahak dan lendir berwarna hijau, dan sesekali batuk di sertai dahak yang kental dan dada saya sesekali sesak, saya ingin tes corona , menurut dokter saya harus rapid tes anti gen atau rapid tes biasa ;Gejala
Saya sedang pilek, mengeluarkan dahak dan lendir berwarna hijau, dan sesekali batuk di sertai dahak yang kental dan dada saya sesekali sesak, saya ingin tes corona , menurut dokter saya harus rapid tes anti gen atau rapid tes biasa ;Tindakan
Saya sedang pilek, mengeluarkan dahak dan lendir berwarna hijau, dan sesekali batuk di sertai dahak yang kental dan dada saya sesekali sesak, saya ingin tes corona , menurut dokter saya harus rapid tes anti gen atau rapid tes biasa ;Pertanyaan
Terima kasih telah bertanya seputar tes covid-19 melalui fitur Tanya Dokter.;Pembuka
Rapid tes antibodi merupakan alat screening untuk mendeteksi ada tidaknya antibodi yang terbentuk di dalam tubuh terhadap virus. ;Outcome
Rapid tes antibodi merupakan alat screening untuk mendeteksi ada tidaknya antibodi yang terbentuk di dalam tubuh terhadap virus. ;Tindakan
Tes ini menggunakan sampel darah dan hasilnya pun dapat cepat terlihat.;Objek
Tes ini menggunakan sampel darah dan hasilnya pun dapat cepat terlihat.;Tindakan
Tapi, yang perlu diketahui, rapid tes antibodi bukanlah alat untuk mendiagnosis suatu penyakit, melainkan hanya untuk screening awal.;Tindakan
Sedangkan Rapid Test antigen adalah pemeriksaan dengan mendeteksi ada tidaknya virus corona di dalam tubuh menggunakan spesimen lendir dari hidung atau tenggorokan. ;Objek
Sedangkan Rapid Test antigen adalah pemeriksaan dengan mendeteksi ada tidaknya virus corona di dalam tubuh menggunakan spesimen lendir dari hidung atau tenggorokan. ;Tindakan
Sedangkan Rapid Test antigen adalah pemeriksaan dengan mendeteksi ada tidaknya virus corona di dalam tubuh menggunakan spesimen lendir dari hidung atau tenggorokan. ;Outcome
Rapid test ini dibuat khusus untuk mendeteksi virus corona, jadi kalau sedang flu atau demam hasil tes seharusnya tidak reaktif. ;Outcome
Rapid test ini dibuat khusus untuk mendeteksi virus corona, jadi kalau sedang flu atau demam hasil tes seharusnya tidak reaktif. ;Tindakan
Sedangkan tes swab yang dilakukan pada tenggorokan dan hidung merupakan tes yang digunakan untuk mendiagnosis infeksi virus corona pada seseorang. ;Tindakan
Sedangkan tes swab yang dilakukan pada tenggorokan dan hidung merupakan tes yang digunakan untuk mendiagnosis infeksi virus corona pada seseorang. ;Outcome
Sebenarnya untuk gold standard atau bahan diagnosa covid-19 yang terbaik adalah menggunakan swab PCR, beserta pemeriksaan fisik ataupun penunjang lain yang dilakukan oleh dokter.;Informasi
Sebenarnya untuk gold standard atau bahan diagnosa covid-19 yang terbaik adalah menggunakan swab PCR, beserta pemeriksaan fisik ataupun penunjang lain yang dilakukan oleh dokter.;Objek
Saran saya, sebaiknya segera periksakan keadaan medis Anda dengan dokter terdekat, sehingga dokter tersebut bisa melanjutkan pemeriksaan lainnya terkait kondisi Anda;Tindakan
Berikut kami sertakan artikel lain sebagai bahan bacaan lain Anda.;Referensi
Baca Juga;Referensi
WHO Akhirnya Akui Ada Bukti Penularan Virus Corona Lewat Udara;Artikel
Mengenal Metode Tes Virus Corona dengan Rapid Antigen;Artikel
Terima kasih, semoga bermanfaat.;Penutup
Malam dok perkenalkan nama saya gibran saya mau tanya sudah seminggu ini saya mengalami gondongan di dekat kerongkongan bagaimana cara mengobatinya dok terus obat apa saja yang direkomendasikan yang aman untuk diminum. ;Pasien
Malam dok perkenalkan nama saya gibran saya mau tanya sudah seminggu ini saya mengalami gondongan di dekat kerongkongan bagaimana cara mengobatinya dok terus obat apa saja yang direkomendasikan yang aman untuk diminum. ;Penyakit
Malam dok perkenalkan nama saya gibran saya mau tanya sudah seminggu ini saya mengalami gondongan di dekat kerongkongan bagaimana cara mengobatinya dok terus obat apa saja yang direkomendasikan yang aman untuk diminum. ;Periode
Malam dok perkenalkan nama saya gibran saya mau tanya sudah seminggu ini saya mengalami gondongan di dekat kerongkongan bagaimana cara mengobatinya dok terus obat apa saja yang direkomendasikan yang aman untuk diminum. ;Pertanyaan
Gejala yang selama ini saya alami Panas naik turun, Meriang, pusing yang berlebihan , terkadang batuk terkadang tidak. Sekian Terimakasih;Gejala
Halo Sdr;Pembuka
Saya mengerti keluhan yang disampaikan dan kekhawatiran Anda;Pembuka
Namun, apakah benar Anda gondongan? Untuk memastikannya sebaiknya periksakan diri terlebih dahulu langsung ke dokter.     ;Tindakan
Gondongan merupakan infeksi kelenjar ludah (parotis) yang disebabkan oleh virus;Penyakit
Gondongan merupakan infeksi kelenjar ludah (parotis) yang disebabkan oleh virus;Penyebab
Penyakit ini mudah menular dari satu orang ke yang lain melalui ludah, lendir hidung atau saat berciuman.;Outcome
Penyakit ini mudah menular dari satu orang ke yang lain melalui ludah, lendir hidung atau saat berciuman.;Penyebab
Gejalanya biasanya muncul 2 minggu setelah terpapar virus.;Periode
Gejalanya biasanya muncul 2 minggu setelah terpapar virus.;Prakondisi
Gejala-gejala awal berupa rasa lelah/lemas seluruh tubuh, nyeri/ngilu-ngilu sendi dan otot, sakit kepala, hilang nafsu makan, demam ringan. ;Gejala
Beberapa hari berikutnya, demam bisa tinggi lebih dari 38,5 derajat. ;Periode
Kelenjar ludah yang terletak di pipi dekat telinga dapat membengkak dan nyeri.;Objek
Pengobatan gondongan hanyalah untuk mengurangi rasa tidak nyaman akibat gejala yang timbul. ;Tindakan
Pengobatan gondongan hanyalah untuk mengurangi rasa tidak nyaman akibat gejala yang timbul. ;Outcome
Karena ini disebabkan oleh virus, infeksinya akan menghilang dengan sendirinya. ;Penyebab
Berikut yang dapat Anda lakukan saat mengalami gondongan: Usahakan cukup istirahat atau segera beristirahat ketika lelah.Gunakan obat seperti parasetamol atau ibuprofen untuk menurunkan demam dan mengurangi nyeri.Kompres dingin kelenjar yang membengkak.Banyak minum agar tidak dehidrasi dan demam cepat turun.Konsumsi makanan lunak seperti sup, yogurt, atau jus yang tidak sulit dikunyah. Ketika kelenjar membengkak, mengunyah akan menimbulkan nyeri.Hindari makanan dan minuman yang asam karena dapat menambah nyeri.;Referensi
Terima kasih sudah berkonsultasi melalui fitur Tanya Dokter. ;Penutup
Jangan ragu untuk kembali berkonsultasi jika masih ada keluhan lainnya, ya.  ;Penutup
Sdr dapat juga berkonsultasi melalui Aplikasi KlikDokter kapan pun dan di mana pun dengan men-download aplikasi Klikdokter melakui Play Store/ Android: https://www.klikdokter.com/download-App Store : https://app.adjust.com/n01yug7  ;Penutup
Semoga sehat selalu/semoga lekas membaik.;Penutup
Dok saya pernah sakit hepatitis a. Apakah bisa kambuh dok? Karena hari ini bagian belakang saya sebelah kanan seperti linu² dok. Dan dulu pas saya sakit hepatitis itu salah satu yang saya rasakan dok. Mohon jawabannya dok;Pasien
Dok saya pernah sakit hepatitis a. Apakah bisa kambuh dok? Karena hari ini bagian belakang saya sebelah kanan seperti linu² dok. Dan dulu pas saya sakit hepatitis itu salah satu yang saya rasakan dok. Mohon jawabannya dok;Penyakit
Dok saya pernah sakit hepatitis a. Apakah bisa kambuh dok? Karena hari ini bagian belakang saya sebelah kanan seperti linu² dok. Dan dulu pas saya sakit hepatitis itu salah satu yang saya rasakan dok. Mohon jawabannya dok;Gejala
Dok saya pernah sakit hepatitis a. Apakah bisa kambuh dok? Karena hari ini bagian belakang saya sebelah kanan seperti linu² dok. Dan dulu pas saya sakit hepatitis itu salah satu yang saya rasakan dok. Mohon jawabannya dok;Pertanyaan
Terimakasih telah bertanya seputar hepatitis A melalui fitur Tanya Dokter;Pertanyaan
Hepatitis A merupakan salah satu jenis hepatitis akut yang disebabkan oleh kontaminasi makanan. ;Penyebab
Hepatitis A merupakan salah satu jenis hepatitis akut yang disebabkan oleh kontaminasi makanan. ;Penyakit
Jenis hepatitis ini jarang sekali menjadi kronik sehingga bila Anda sudah sembuh kemungkinan tidak akan mengalaminya kembali, kecuali tertular dari makanan yang terkontaminasi kuman hepatitis A.;Penyebab
Cara untuk mencegahnya tentu dengan menjaga kebersihan pribadi serta menghindari jajanan yang kurang bersih/kotor.;Tindakan
Demikian informasi yang dapat kami sampaikan. Semoga bermanfaat;Penutup
saya mau bertanya, faktor apa yang bisa menentukan sesorang terkena penyakit liver ?;Pasien
saya mau bertanya, faktor apa yang bisa menentukan sesorang terkena penyakit liver ?;Pertanyaan
Terima kasih telah bertanya mengenai penyakit liver melalui fitur Tanya Dokter di KlikDokter.  ;Pembuka
Perlu Anda ketahui bahwa penyakit liver merupakan istilah awam yang menyatakan terdapatnya gangguan di hati. ;Penyakit
Gangguan di hati dapat berupa berbagai jenis penyakit seperti hepatitis (infeksi), hepatoma (kanker hati), gangguan hati karena kolesterol, gangguan hati karena alkohol, sirosis (pengerasan hati), dan banyak lagi. ;Penyakit
Yang paling banyak diderita saat ini adalah hepatitis. ;Penyakit
Hepatitis adalah penyakit gangguan fungsi hati yang disebabkan karena virus Hepatitis;Penyakit
Hepatitis adalah penyakit gangguan fungsi hati yang disebabkan karena virus Hepatitis;Penyebab
Terdapat lima jenis hepatitis yang disebabkan oleh virus, diantaranya adalah Hepatitis A, B, C, D dan E.  ;Penyakit
Terdapat lima jenis hepatitis yang disebabkan oleh virus, diantaranya adalah Hepatitis A, B, C, D dan E.  ;Penyebab
Berikut sekilas kami jelaskan penyebab dari masing-masing dari kelima tipe hepatitis tersebut:;Referensi
Hepatitis A penularannya terjadi apabila seseorang menaruh atau memakan sesuatu yang terkontaminasi oleh tinja pasien hepatitis A, karena virus hepatitis A terdapat didalam tinja penderita. ;Penyakit
Hepatitis A penularannya terjadi apabila seseorang menaruh atau memakan sesuatu yang terkontaminasi oleh tinja pasien hepatitis A, karena virus hepatitis A terdapat didalam tinja penderita. ;Penyebab
Hepatitis A termasuk kedalam hepatitis akut, karena sebagian besar penderita hepatitis A akan sembuh total dan tidak berkembang menjadi hepatitis kronik.;Penyakit
"Hepatitis B penularannya melalui darah dan cairan tubuh yang terinfeksi, hal ini dapat terjadi pada keadaan;Kontak langsung darah dengan darah yang telah terkontaminasi virus penyebab hepatitis.Hubungan seksual yang tidak aman, yakni kontak seksual tanpa kontrasepsi kondom sehingga terdapat pertukaran cairan tubuh.Penggunaan jarum suntik yang tidak steril, dan bahkan tertusuk jarum suntik yang terinfeksi secara tidak sengaja sekalipun.Menggunakan jarum yang terkontaminasi masuk ke tubuh, contohnya seperti jarum yang digunakan untuk membuat tato, akupuntur, tindik dan lainnya.Pada saat kehamilan – penularan dari ibu-janin pada proses melahirkanPenggunaan pisau cukur bersamaTranfusi darah";Penyakit
