text;tag
peningkatan asam lambung karena merokok,stres,faktor genetik, dandapat juga disebabkan oleh bakteri (Helicobacter pylori).;
Seorang dengan ulkus lambung biasanya mengalami keluhan berupa nyeri ulu hati setelah makan, mual dan perdarahan saat buang air besar namun berwarna gelap.;penyakit
Seorang dengan ulkus lambung biasanya mengalami keluhan berupa nyeri ulu hati setelah makan, mual dan perdarahan saat buang air besar namun berwarna gelap.;gejala
Seorang dengan ulkus lambung biasanya mengalami keluhan berupa nyeri ulu hati setelah makan, mual dan perdarahan saat buang air besar namun berwarna gelap.;kapan
Jika Anda mengalami keluhan BAB berdarah, segera berkonsultasi langsung dengan dokter untuk mendapatkan penanganan secepatnya;tindakan
Demikian informasi seputar Penyebab BAB Berdarah yang dapat kami sampaikan, semoga bermanfaat.;penutup
Dok mau tanya dong klo buang air besar bedarah itu knpa ya dong??, cuma saya tidak merasakan kaya pusing, demam, pegal² gitu dok .;pasien
Dok mau tanya dong klo buang air besar bedarah itu knpa ya dong??, cuma saya tidak merasakan kaya pusing, demam, pegal² gitu dok .;gejala
Dok mau tanya dong klo buang air besar bedarah itu knpa ya dong??, cuma saya tidak merasakan kaya pusing, demam, pegal² gitu dok .;pertanyaan
dok saya mau untuk masalah obat dengan keluhan BAB cair 6x dari pagi smpai saat ini, K.U lemas,pusing, muntah, sakit perut, kurang napsu makan. sakit kepala;pasien
dok saya mau untuk masalah obat dengan keluhan BAB cair 6x dari pagi smpai saat ini, K.U lemas,pusing, muntah, sakit perut, kurang napsu makan. sakit kepala;gejala
kemarin sempat makan mangga sama pepaya dok. dan mulai diare nya itu tadi malm dok. smpai saat ini masih Bab;kapan
kemarin sempat makan mangga sama pepaya dok. dan mulai diare nya itu tadi malm dok. smpai saat ini masih Bab;periode
dok saya mau untuk masalah obat dengan keluhan BAB cair 6x dari pagi smpai saat ini, K.U lemas,pusing, muntah, sakit perut, kurang napsu makan. sakit kepala;pertanyaan
Halo Sdri;pembuka
Saya mengerti keluhan yang disampaikan dan kekhawatiran Anda.     ;pembuka
Melihat dari keluhan yang anda sampaikan, kami menduga terjadi gangguan pada sistem pencernaan anda. ;penyebab
Adanya diare disertai mual dan muntah bisa terjadi akibat infeksi pada saluran cerna, bisa infeksi olleh bakteri, virus atau penyebab lain. ;penyakit
Adanya diare disertai mual dan muntah bisa terjadi akibat infeksi pada saluran cerna, bisa infeksi olleh bakteri, virus atau penyebab lain. ;gejala
Adanya diare disertai mual dan muntah bisa terjadi akibat infeksi pada saluran cerna, bisa infeksi olleh bakteri, virus atau penyebab lain. ;penyebab
Adanya diare disertai mual dan muntah bisa terjadi akibat infeksi pada saluran cerna, bisa infeksi olleh bakteri, virus atau penyebab lain. ;objek
Sedangkan lemas yang anda rasakan bisa terjadi akibat komplikasi dari penyakit yang anda derita, akibat dehidrasi atau gangguan elektrolit dalam tubuh.;gejala
Sedangkan lemas yang anda rasakan bisa terjadi akibat komplikasi dari penyakit yang anda derita, akibat dehidrasi atau gangguan elektrolit dalam tubuh.;penyakit
Sedangkan lemas yang anda rasakan bisa terjadi akibat komplikasi dari penyakit yang anda derita, akibat dehidrasi atau gangguan elektrolit dalam tubuh.;penyebab
Dehidrasi atau kurang cairan merupakan salah satu komplikasi tersering dari diare;penyakit
Dehidrasi atau kurang cairan merupakan salah satu komplikasi tersering dari diare;penyebab
Selain badan lemas, dehidrasi juga ditandai dengan: Mulut dan bibir kering Mata cekung Kehausan Buang air kecil lebih jarang Air seni terlihat lebih pekat;gejala
Jika mengalami dehidrasi akibat diare, Anda dianjurkan untuk mengonsumsi oralit guna menggantikan cairan tubuh yang hilang. ;penyakit
Jika mengalami dehidrasi akibat diare, Anda dianjurkan untuk mengonsumsi oralit guna menggantikan cairan tubuh yang hilang. ;tindakan
Jika mengalami dehidrasi akibat diare, Anda dianjurkan untuk mengonsumsi oralit guna menggantikan cairan tubuh yang hilang. ;objek
Larutan oralit dapat dibeli di toko atau apotek. ;tindakan
Larutan oralit dapat dibeli di toko atau apotek. ;objek
Anda juga dapat membuatnya sendiri dengan mencampurkan setengah sendok teh garam dan 8 sendok teh gula pasir. Lalu, tambahkan satu liter air matang dan aduk hingga merata. ;tindakan
Anda juga dapat membuatnya sendiri dengan mencampurkan setengah sendok teh garam dan 8 sendok teh gula pasir. Lalu, tambahkan satu liter air matang dan aduk hingga merata. ;objek
Bila Anda sulit mengonsumsi oralit karena mual, kuah sup ayam juga bisa menjadi alternatif untuk menggantikan cairan yang hilang akibat diare.;prakondisi
Bila Anda sulit mengonsumsi oralit karena mual, kuah sup ayam juga bisa menjadi alternatif untuk menggantikan cairan yang hilang akibat diare.;tindakan
Oleh karena itu, diare bisa menyebabkan gangguan elektrolit, salah satunya hipokalemia atau kadar kalium di bawah normal.;penyakit
Oleh karena itu, diare bisa menyebabkan gangguan elektrolit, salah satunya hipokalemia atau kadar kalium di bawah normal.;penyebab
Jika kadarnya rendah, kontraksi organ-organ tersebut akan terganggu, hingga akhirnya menimbulkan keluhan badan lemas.;outcome
Jika kadarnya rendah, kontraksi organ-organ tersebut akan terganggu, hingga akhirnya menimbulkan keluhan badan lemas.;objek
Untuk mengatasi hipokalemia, Anda dapat mengonsumsi makanan yang mengandung kalium tinggi seperti pisang, kentang, bayam, ikan, dan kacang-kacangan.;penyakit
Untuk mengatasi hipokalemia, Anda dapat mengonsumsi makanan yang mengandung kalium tinggi seperti pisang, kentang, bayam, ikan, dan kacang-kacangan.;tindakan
Untuk mengatasi hipokalemia, Anda dapat mengonsumsi makanan yang mengandung kalium tinggi seperti pisang, kentang, bayam, ikan, dan kacang-kacangan.;objek
Namun demikian, bila badan lemas disertai dengan kesulitan menggerakkan tangan dan kaki, atau disertai dengan perut yang sangat kembung, sebaiknya segera kunjungi rumah sakit terdekat. ;gejala
Namun demikian, bila badan lemas disertai dengan kesulitan menggerakkan tangan dan kaki, atau disertai dengan perut yang sangat kembung, sebaiknya segera kunjungi rumah sakit terdekat. ;tindakan
Gejala-gejala tersebut merupakan gejala hipokalemia berat yang membutuhkan kalium melalui infus.;tindakan
Selain kalium, natrium juga merupakan salah satu jenis elektrolit yang dapat berkurang jumlahnya saat diare. ;penyebab
Selain kalium, natrium juga merupakan salah satu jenis elektrolit yang dapat berkurang jumlahnya saat diare. ;penyakit
Kondisi natrium di bawah nilai normal disebut hiponatremia. ;penyakit
Kondisi natrium di bawah nilai normal disebut hiponatremia. ;penyebab
Hiponatremia menimbulkan gejala berupa badan lemas dan lelah, merasa tidak punya energi untuk beraktivitas, sakit kepala dan terlihat gelisah. ;penyakit
Hiponatremia menimbulkan gejala berupa badan lemas dan lelah, merasa tidak punya energi untuk beraktivitas, sakit kepala dan terlihat gelisah. ;gejala
Bila hiponatremia yang dialami cukup berat, penderita akan mengalami penurunan kesadaran dan kejang. ;penyakit
Bila hiponatremia yang dialami cukup berat, penderita akan mengalami penurunan kesadaran dan kejang. ;outcome
Bila hiponatremia yang dialami cukup berat, penderita akan mengalami penurunan kesadaran dan kejang. ;penyebab
Pengobatan hiponatremia dilakukan dengan memberikan natrium melalui cairan infus di rumah sakit.;penyakit
Pengobatan hiponatremia dilakukan dengan memberikan natrium melalui cairan infus di rumah sakit.;tindakan
Pengobatan hiponatremia dilakukan dengan memberikan natrium melalui cairan infus di rumah sakit.;objek
Minum air putih setidaknya 1,5 liter per hari saat diare;tindakan
Mengonsumsi makanan yang “ramah untuk perut” selama diare, seperti roti tawar, crackers, pisang, apel, dan kentang.;tindakan
Mengonsumsi makanan yang “ramah untuk perut” selama diare, seperti roti tawar, crackers, pisang, apel, dan kentang.;kapan
Mengonsumsi makanan yang “ramah untuk perut” selama diare, seperti roti tawar, crackers, pisang, apel, dan kentang.;objek
Hindari minuman berkafein hingga 2 hari setelah diare hilang.;tindakan
Hindari minuman berkafein hingga 2 hari setelah diare hilang.;kapan
Namun, jika tindakan tersebut masih belum mampu mengatasi badan lemas akibat diare, jangan ragu untuk segera berobat ke dokter;tindakan
Namun, jika tindakan tersebut masih belum mampu mengatasi badan lemas akibat diare, jangan ragu untuk segera berobat ke dokter;prakondisi
Terima kasih sudah berkonsultasi melalui fitur Tanya Dokter. ;penutup
Jangan ragu untuk kembali berkonsultasi jika masih ada keluhan lainnya, ya.  ;penutup
Sdri dapat juga berkonsultasi melalui Aplikasi KlikDokter kapan pun dan di mana pun dengan men-download aplikasi Klikdokter melakui Play Store/ Android: https://www.klikdokter.com/download-App Store : https://app.adjust.com/n01yug7  ;penutup
Semoga sehat selalu/semoga lekas membaik.;penutup
Selamat malam dokter, saya mau bertanya sudah seharian saya demam tinggi, panas nya naik turun, mata perih dan terus berair , terus bersin bersin dan ingusan putih terus mengalir, tenggorokan terasa kering, ,tulang terasa nyeri semua, tapi kaki terasa dingin,menggigil dan pusing berdenyut denyut, jenis gejala penyakit apa dok? Terimakasih;pasien
Selamat malam dokter, saya mau bertanya sudah seharian saya demam tinggi, panas nya naik turun, mata perih dan terus berair , terus bersin bersin dan ingusan putih terus mengalir, tenggorokan terasa kering, ,tulang terasa nyeri semua, tapi kaki terasa dingin,menggigil dan pusing berdenyut denyut, jenis gejala penyakit apa dok? Terimakasih;gejala
Selamat malam dokter, saya mau bertanya sudah seharian saya demam tinggi, panas nya naik turun, mata perih dan terus berair , terus bersin bersin dan ingusan putih terus mengalir, tenggorokan terasa kering, ,tulang terasa nyeri semua, tapi kaki terasa dingin,menggigil dan pusing berdenyut denyut, jenis gejala penyakit apa dok? Terimakasih;periode
Selamat malam dokter, saya mau bertanya sudah seharian saya demam tinggi, panas nya naik turun, mata perih dan terus berair , terus bersin bersin dan ingusan putih terus mengalir, tenggorokan terasa kering, ,tulang terasa nyeri semua, tapi kaki terasa dingin,menggigil dan pusing berdenyut denyut, jenis gejala penyakit apa dok? Terimakasih;pertanyaan
Terima kasih telah bertanya mengenai demam naik turun melaui fitur Tanya Dokter. ;pembuka
Kami mengerti kekhawatiran yang Anda rasakan. ;pembuka
Sebelumnya izinkan kami menjelaskan sekilas mengenai demam. ;penyakit
Demam merupakan mekanisme normal oleh tubuh saat tubuh ingin melawan benda asing seperti bakteri, virus dan lainnya;penyakit
Demam merupakan mekanisme normal oleh tubuh saat tubuh ingin melawan benda asing seperti bakteri, virus dan lainnya;penyebab
Demam yang sudah terjadi selama 3 hari atau lebih memerlukan evaluasi yang lebih ketat karena kemungkinan besar terdapat infeksi yang perlu diatasi;penyakit
Demam yang sudah terjadi selama 3 hari atau lebih memerlukan evaluasi yang lebih ketat karena kemungkinan besar terdapat infeksi yang perlu diatasi;periode
Demam yang sudah terjadi selama 3 hari atau lebih memerlukan evaluasi yang lebih ketat karena kemungkinan besar terdapat infeksi yang perlu diatasi;tindakan
Demam yang sudah terjadi selama 3 hari atau lebih memerlukan evaluasi yang lebih ketat karena kemungkinan besar terdapat infeksi yang perlu diatasi;penyebab
"Selain itu juga Anda perlu mengetahui hal-hal yang terkait seperti ""Apakah demam disertai dengan gejala lain?"" Seperti kejang, gangguan pencernaan(diare atau konstipasi), gangguan pernafasan(batuk, pilek,sesak nafas), gangguan pada telinga(keluar cairan ataupun darah dari telinga), dan sebagainya.";penyakit
"Selain itu juga Anda perlu mengetahui hal-hal yang terkait seperti ""Apakah demam disertai dengan gejala lain?"" Seperti kejang, gangguan pencernaan(diare atau konstipasi), gangguan pernafasan(batuk, pilek,sesak nafas), gangguan pada telinga(keluar cairan ataupun darah dari telinga), dan sebagainya.";gejala
Sulit bagi kami untuk mendiganosa demam yang Anda alami tanpa melakukan pemeriksaan fisik secara langsung mengingat banyaknya penyebab demam, bila disebabkan oleh infkesi pun bisa infeksi virus, bakteri, jamur. ;penyakit
Sulit bagi kami untuk mendiganosa demam yang Anda alami tanpa melakukan pemeriksaan fisik secara langsung mengingat banyaknya penyebab demam, bila disebabkan oleh infkesi pun bisa infeksi virus, bakteri, jamur. ;tindakan
Sulit bagi kami untuk mendiganosa demam yang Anda alami tanpa melakukan pemeriksaan fisik secara langsung mengingat banyaknya penyebab demam, bila disebabkan oleh infkesi pun bisa infeksi virus, bakteri, jamur. ;penyebab
Dan biasanya juga disesuaikan dengan keluhan lain, Namun demam akut (tiba-tiba) dan naik turun bisa disebabkan adanya infeksi pencernaan.;penyakit
Dan biasanya juga disesuaikan dengan keluhan lain, Namun demam akut (tiba-tiba) dan naik turun bisa disebabkan adanya infeksi pencernaan.;outcome
Dan biasanya juga disesuaikan dengan keluhan lain, Namun demam akut (tiba-tiba) dan naik turun bisa disebabkan adanya infeksi pencernaan.;penyebab
Oleh karena itu, kami anjurkan Anda untuk berkonsultasi dengan dokter secara langsung agar dapat dilakukan pemeriksaan fisik, wawancara medis yang lebih mendalam dan pemeriksaan penunjuang yang diperlukan demi tercapainya pengobatan yang optimal.;tindakan
Oleh karena itu, kami anjurkan Anda untuk berkonsultasi dengan dokter secara langsung agar dapat dilakukan pemeriksaan fisik, wawancara medis yang lebih mendalam dan pemeriksaan penunjuang yang diperlukan demi tercapainya pengobatan yang optimal.;outcome
Apabila demam terjadi, Anda dapat mencoba menurunkannya dengan obat penurun panas seperti ibuprofen atau parasetamol, Anda juga dapat mengompres seluruh badan (tidak hanya kepala) dengan air hangat. ;penyakit
Apabila demam terjadi, Anda dapat mencoba menurunkannya dengan obat penurun panas seperti ibuprofen atau parasetamol, Anda juga dapat mengompres seluruh badan (tidak hanya kepala) dengan air hangat. ;tindakan
Apabila demam terjadi, Anda dapat mencoba menurunkannya dengan obat penurun panas seperti ibuprofen atau parasetamol, Anda juga dapat mengompres seluruh badan (tidak hanya kepala) dengan air hangat. ;objek
Apabila demam terjadi, Anda dapat mencoba menurunkannya dengan obat penurun panas seperti ibuprofen atau parasetamol, Anda juga dapat mengompres seluruh badan (tidak hanya kepala) dengan air hangat. ;outcome
Namun, kompres harus diperas dan direndam di air hangat kembali secara teratur. ;tindakan
Tidak boleh hanya ditinggal begitu saja karena jika ditinggal terlalu lama akan menjadi dingin. Untuk penanganan lebih lanjut kami sarankan Anda segera memeriksakan diri ke dokter.;tindakan
Demam Anak Naik Turun, Mungkin 4 Hal Ini Penyebabnya;artikel
Demikian informasi yang dapat kami sampaikan mengenai demam naik turun. ;penutup
Semoga bermanfaat. Salam. ;penutup
hallo dok ,saya mau menanyakan jika pup air semua itu dikarnakan kenapa yaa.. badan sayaa lemas jugaa hampir setiap saat saya pup;pasien
hallo dok ,saya mau menanyakan jika pup air semua itu dikarnakan kenapa yaa.. badan sayaa lemas jugaa hampir setiap saat saya pup;gejala
hallo dok ,saya mau menanyakan jika pup air semua itu dikarnakan kenapa yaa.. badan sayaa lemas jugaa hampir setiap saat saya pup;pertanyaan
Terima kasih telah bertanya seputar diare melalui Tanya Dokter.;pembuka
Diare adalah peningkatan jumlah ( tiga kali atau lebih) atau penurunan konsistensi dari tinja (menjadi lunak atau cair) dalam waktu 24 jam. ;penyakit
pengobatan hiponatremia dilakukan dengan memberikan natrium melalui cairan infus di rumah sakit.;penyebab
Diare adalah peningkatan jumlah ( tiga kali atau lebih) atau penurunan konsistensi dari tinja (menjadi lunak atau cair) dalam waktu 24 jam. ;periode
Diare dapat dibagi menjadi akut (kurang dari 14 hari) dan persisten (lebih dari 14 hari) dan kronik (lebih dari 1 bulan).;penyakit
Diare dapat dibagi menjadi akut (kurang dari 14 hari) dan persisten (lebih dari 14 hari) dan kronik (lebih dari 1 bulan).;periode
Gejala dan tandanya meliputi konsistensi feses menurun (cair) dengan/ tanpa darah, suhu badan mungkin meningkat (demam), nyeri perut, sakit kepala, nafsu makan tidak ada/ berkurang, lemah, mual, muntah, mialgia (nyeri otot), gelisah.;gejala
Konsistensi tinja yang cair yang menjadi karakteristik diare biasanya akan hilang dalam beberapa hari. ;outcome
Konsistensi tinja yang cair yang menjadi karakteristik diare biasanya akan hilang dalam beberapa hari. ;periode
Diare kronik dapat menjadi tanda adanya kelainan yang lebih serius, seperti adanya infflamatory bowel disease atau imunodefisiensi (seperti HIV). ;penyakit
Diare kronik dapat menjadi tanda adanya kelainan yang lebih serius, seperti adanya infflamatory bowel disease atau imunodefisiensi (seperti HIV). ;penyebab
Diare dapat menyebabkan kehilangan cairan dan elektrolit yang cukup signifikan.;penyakit
Diare dapat menyebabkan kehilangan cairan dan elektrolit yang cukup signifikan.;outcome
Kebanyakan diare akan sembuh sendiri tanpa pengobatan. ;penyakit
Kebanyakan diare akan sembuh sendiri tanpa pengobatan. ;outcome
Penting juga diperhatikan sudah berapa lama atau sudah berapa hari Anda mengalami diare ini.;penyakit
Apabila lebih dari 3 hari atau bahkan hingga seminggu, kemungkinan besar ada penyebab yang membutuhkan penanganan lebih serius seperti infeksi bakteri.;periode
Apabila lebih dari 3 hari atau bahkan hingga seminggu, kemungkinan besar ada penyebab yang membutuhkan penanganan lebih serius seperti infeksi bakteri.;tindakan
"Penyebab diare dapat bermacam-macam, diantaranya disebabkan oleh: 1.virus (paling sering) 2. bakteri 3.	infeksi parasit 4.	obat-obatan (kafein, alkohol) 5.	penyakit non-infeksi (irritable bowel syndrome, inflammatory bowel disease) 6.	laktosa (gula yang terdapat di dalam susu)7.	pemanis buatan (sorbitol dan mannitol, pemanis buatan yang terdapat di permen karet atau produk bebas gula lainnya dapat menyebabkan diare pada orang sehat) 8.	keracunan makanan ";penyakit
"Penyebab diare dapat bermacam-macam, diantaranya disebabkan oleh: 1.virus (paling sering) 2. bakteri 3.	infeksi parasit 4.	obat-obatan (kafein, alkohol) 5.	penyakit non-infeksi (irritable bowel syndrome, inflammatory bowel disease) 6.	laktosa (gula yang terdapat di dalam susu)7.	pemanis buatan (sorbitol dan mannitol, pemanis buatan yang terdapat di permen karet atau produk bebas gula lainnya dapat menyebabkan diare pada orang sehat) 8.	keracunan makanan ";penyebab
Saat ini yang pasti perhatikan asupan cairan untuk mengkompensasi cairan dan elektrolit yang keluar dengan mengkonsumsi oralit dan air putih setidaknya 2 liter per hari. ;tindakan
Usahakan untuk minum setiap setelah diare. Tak lupa batasi konsumsi serat (buah dan sayur) hingga diare menghilang.;tindakan
Usahakan untuk minum setiap setelah diare. Tak lupa batasi konsumsi serat (buah dan sayur) hingga diare menghilang.;prakondisi
Usahakan untuk minum setiap setelah diare. Tak lupa batasi konsumsi serat (buah dan sayur) hingga diare menghilang.;periode
Demikian informasi yang dapat kami sampaikan, semoga bermanfaat.;penutup
Assalamualaikum, selamat malam. Dok kenalan saya mengalami diare pada awalnya, dan setelah kurang lebih 3 hari jadi berubah bukan lagi feses tapi darah yang keluar dan frekuensinya kurang lebih setiap satu jam satu kali. Itu diagnosis nya apa ya dok? Dan untuk pertolongan pertama apa yang harus dilakukan? Terima kasih Wassalamualaikum;pasien
Assalamualaikum, selamat malam. Dok kenalan saya mengalami diare pada awalnya, dan setelah kurang lebih 3 hari jadi berubah bukan lagi feses tapi darah yang keluar dan frekuensinya kurang lebih setiap satu jam satu kali. Itu diagnosis nya apa ya dok? Dan untuk pertolongan pertama apa yang harus dilakukan? Terima kasih Wassalamualaikum;penyakit
Assalamualaikum, selamat malam. Dok kenalan saya mengalami diare pada awalnya, dan setelah kurang lebih 3 hari jadi berubah bukan lagi feses tapi darah yang keluar dan frekuensinya kurang lebih setiap satu jam satu kali. Itu diagnosis nya apa ya dok? Dan untuk pertolongan pertama apa yang harus dilakukan? Terima kasih Wassalamualaikum;
Assalamualaikum, selamat malam. Dok kenalan saya mengalami diare pada awalnya, dan setelah kurang lebih 3 hari jadi berubah bukan lagi feses tapi darah yang keluar dan frekuensinya kurang lebih setiap satu jam satu kali. Itu diagnosis nya apa ya dok? Dan untuk pertolongan pertama apa yang harus dilakukan? Terima kasih Wassalamualaikum;prakondisi
Assalamualaikum, selamat malam. Dok kenalan saya mengalami diare pada awalnya, dan setelah kurang lebih 3 hari jadi berubah bukan lagi feses tapi darah yang keluar dan frekuensinya kurang lebih setiap satu jam satu kali. Itu diagnosis nya apa ya dok? Dan untuk pertolongan pertama apa yang harus dilakukan? Terima kasih Wassalamualaikum;kapan
Assalamualaikum, selamat malam. Dok kenalan saya mengalami diare pada awalnya, dan setelah kurang lebih 3 hari jadi berubah bukan lagi feses tapi darah yang keluar dan frekuensinya kurang lebih setiap satu jam satu kali. Itu diagnosis nya apa ya dok? Dan untuk pertolongan pertama apa yang harus dilakukan? Terima kasih Wassalamualaikum;outcome
